dataset_id,dataset_name,original_number_features,final_number_features,original_number_rows,final_number_rows,original_density,final_density,binary_feature,initial_XGB_r2,initial_XGB_accuracy,initial_XGB_normalized_accuracy,final_XGB_r2,final_XGB_accuracy,final_XGB_normalized_accuracy,initial_NN_TORCH_r2,initial_NN_TORCH_accuracy,initial_NN_TORCH_normalized_accuracy,final_NN_TORCH_r2,final_NN_TORCH_accuracy,final_NN_TORCH_normalized_accuracy,final_improvement_xgb,final_improvement_accuracy,final_improvement_r2
46927,Fitness_Club,6,4,1499,176,1.051149451208826e-05,0.11027568922305764,time,,0.7577777777777778,0.5155555555555555,,0.7924528301886793,0.5849056603773586,,0.76,0.52,,0.7924528301886793,0.5849056603773586,13.451528952504898,0.0,
46928,Food_Delivery_Time,9,4,45242,3221,5.407391379869e-16,0.3268060064935065,,0.38571810722351074,,,0.5069277286529541,,,0.32479214668273926,,,0.43106168508529663,,,31.424405325935716,,14.965850017566476
46929,GiveMeSomeCredit,10,3,149354,323,1.066472191353621e-19,0.11945266272189349,FinancialDistressNextTwoYears,,0.9352,0.8704000000000001,,0.5979381443298969,0.19587628865979378,,0.9346,0.8692,,0.6288659793814433,0.25773195876288657,-77.49583080654942,-31.578947368421055,
46930,hazelnut-spread-contaminant-detection,30,1,2400,781,4.281293536606587e-90,1.0,,,0.9097222222222222,0.8194444444444444,,,,,0.9194444444444444,0.8388888888888888,,,,,,
46931,healthcare_insurance_expenses,6,5,1335,986,0.0005399227364497593,0.21852836879432624,sex,0.8141657804184319,,,0.6338678737495407,,,0.8095545575880589,,,0.6943526953586819,,,-22.145109878755775,,-9.542181283199177
46932,heloc,23,3,9871,184,1.4832573002592818e-35,0.13529411764705881,RiskPerformance,,0.7147864882090503,0.42957297641810066,,0.8035714285714286,0.6071428571428572,,0.7176545570427023,0.4353091140854046,,0.8035714285714286,0.6071428571428572,41.33637134378977,0.0,
46933,hiva_agnostic,1617,9,3825,63,0.0,0.123046875,molecule_structure_property_534,,0.9688041594454073,0.953206239168111,,0.9473684210526315,0.9210526315789471,,0.9688041594454073,0.953206239168111,,0.9473684210526315,0.9210526315789471,-3.3732057416268266,0.0,
46934,houses,8,2,20640,11032,5.234241194407872e-22,0.25136711629602626,,0.8600555676108288,,,,,,0.836628270496721,,,,,,,,
46935,HR_Analytics_Job_Change_of_Data_Scientists,12,6,19084,1731,5.30889048214203e-10,0.1839923469387755,relevent_experience,,0.8013221990257481,0.6026443980514962,,0.7211538461538461,0.4423076923076923,,0.7981906750173974,0.5963813500347948,,0.7211538461538461,0.4423076923076923,-26.605524960028426,0.0,
46937,in_vehicle_coupon_recommendation,24,9,12587,178,1.445596993304525e-11,0.1545138888888889,expiration,,0.7669469259064635,0.533893851812927,,0.5925925925925926,0.18518518518518512,,0.7595901208617971,0.5191802417235942,,0.5370370370370371,0.07407407407407418,-65.31423155438905,59.99999999999993,
